refresh_timestamp,current_date,raw_records,accepted_records,rejected_records,unmapped_candidates,companies,duration_seconds,status,notes
2026-06-22 11:18 ET,2026-06-22,144,34,110,0,5,122.8,success,
2026-06-22 11:20 ET,2026-06-22,144,34,110,0,5,6.5,success,
2026-06-22 12:39 ET,2026-06-22,11318,6302,5016,30,7,1114.3,success,
2026-06-22 13:33 ET,2026-06-22,11318,6302,5016,30,7,1082.2,success,
2026-06-22 15:14 ET,2026-06-22,11318,6302,5016,30,7,1735.9,success,
2026-06-23 09:07 ET,2026-06-23,12291,7073,5218,30,7,2202.4,success,
2026-06-24 14:15 ET,2026-06-24,12294,7076,5218,30,7,2336.0,success,
2026-06-25 15:17 ET,2026-06-25,12298,7081,5217,30,7,2500.8,success,
2026-06-26 13:25 ET,2026-06-26,12299,7080,5219,30,7,2615.5,success,
2026-06-27 11:51 ET,2026-06-27,12299,7080,5219,30,7,2291.8,success,
2026-06-28 11:56 ET,2026-06-28,12300,7080,5220,30,7,2538.0,success,
2026-06-29 14:32 ET,2026-06-29,12300,7080,5220,30,7,2596.3,success,
2026-06-30 14:19 ET,2026-06-30,12298,7079,5219,30,7,2633.2,success,
2026-07-01 14:28 ET,2026-07-01,12303,7083,5220,30,7,2204.3,success,
