Generated Award ID,Award ID / PIID,Parent Award ID,Awarding Department,Awarding Subagency,Awarding Office,Funding Department,Funding Subagency,Recipient Legal Name,Recipient UEI,Parent Recipient Name,OEM Parent Company,Award Description,Award Type,Award Type Code,Action Classification,Award Date,Period of Performance Start Date,Period of Performance Current End Date,Period of Performance Potential End Date,Ordering Period End Date,Potential Value,Obligated Amount,Value Basis,NAICS Code,NAICS Description,PSC Code,PSC Description,Performance City,Performance State,Performance Country,Full Performance Location,Recipient Location,Award Category,Category Confidence,Category Reason,Currently Active,Active Status,Date Confidence,Mapping Confidence,USAspending Link,Last Refreshed,Rejection Reason
CONT_IDV_SPRPA121GCT01_9700,SPRPA121GCT01,,Department of Defense,Defense Logistics Agency,,Department of Defense,Department of the Navy,NORTHROP GRUMMAN SYSTEMS CORPORATION,T9XKQSKMW4J1,,Northrop Grumman,BASIC ORDERING AGREEMENT FOR FIVE YEARS EXPIRES 12/17/2025,BPA / BOA,,New Award,2020-12-17,2025-12-17,,,2025-12-17,,0.0,Needs Review,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,,,UNITED STATES,UNITED STATES (LOCATION UNSPECIFIED),UNITED STATES (LOCATION UNSPECIFIED),Aircraft Maintenance / Sustainment,Medium,keyword 'AIRCRAFT PARTS'; PSC/NAICS suggested related work → Aircraft Maintenance / Sustainment,No,End date unknown,Needs Review,High,https://www.usaspending.gov/award/CONT_IDV_SPRPA121GCT01_9700,2026-08-27 17:03 ET,Award date before 2023
CONT_IDV_FA860419D4024_9700,FA860419D4024,,Department of Defense,Defense Contract Management Agency,,Department of Defense,Department of the Air Force,NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,,Northrop Grumman,OPEN ARCHITECTURE STANDARDS,IDIQ / IDV,,New IDIQ / Vehicle,2018-12-14,2022-12-31,,,2022-12-31,,0.0,Needs Review,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",AC12,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; APPLIED RESEARCH,,,UNITED STATES,UNITED STATES (LOCATION UNSPECIFIED),UNITED STATES (LOCATION UNSPECIFIED),R&D / Prototype / Advanced Development,High,keyword 'R&D' + PSC AC12 → R&D / Prototype / Advanced Development,No,End date unknown,Needs Review,High,https://www.usaspending.gov/award/CONT_IDV_FA860419D4024_9700,2026-08-27 17:03 ET,Award date before 2023
CONT_IDV_FA868423DB079_9700,FA868423DB079,,Department of Defense,Department of the Air Force,,Department of Defense,Department of the Air Force,NORTHROP GRUMMAN SYSTEMS CORPORATION,DJUCEANK2KP4,,Northrop Grumman,"AFLCMC/XA MULTIPLE AWARD IDIQ TO DEVELOP INNOVATIVE APPROACHES FOR MULTI-DOMAIN SYSTEMS CAPABILITIES, CHARACTERIZATION OF NEW TECHNOLOGIES THROUGH STUDIES, RECURRENT DEMONSTRATION AND RAPID DEVELOPMENT TO ENABLE RAPID PROTOTYPING, TEST AND CAPABILITY",IDIQ / IDV,,New IDIQ / Vehicle,2022-12-08,2022-12-09,,,2027-11-14,,0.0,Needs Review,541715,"RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",AC13,NATIONAL DEFENSE R&D SERVICES; DEPARTMENT OF DEFENSE - MILITARY; EXPERIMENTAL DEVELOPMENT,,,UNITED STATES,UNITED STATES (LOCATION UNSPECIFIED),UNITED STATES (LOCATION UNSPECIFIED),R&D / Prototype / Advanced Development,High,keyword 'DEMONSTRATION' + PSC AC13 → R&D / Prototype / Advanced Development,No,End date unknown,Needs Review,High,https://www.usaspending.gov/award/CONT_IDV_FA868423DB079_9700,2026-08-27 17:03 ET,Award date before 2023
CONT_IDV_N0038323GT401_9700,N0038323GT401,,Department of Defense,Department of the Navy,,Department of Defense,Department of the Navy,NORTHROP GRUMMAN SYSTEMS CORPORATION,PDKLLA6Q11N4,,Northrop Grumman,NAVY REPAIR BOA,BPA / BOA,,New Award,2022-11-21,2022-11-21,,,2026-11-21,,0.0,Needs Review,334290,OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,7G20,IT AND TELECOM - NETWORK: ANALOG VOICE PRODUCTS (HARDWARE AND PERPETUAL LICENSE SOFTWARE),,,UNITED STATES,UNITED STATES (LOCATION UNSPECIFIED),UNITED STATES (LOCATION UNSPECIFIED),Aircraft Maintenance / Sustainment,High,keyword 'REPAIR' → Aircraft Maintenance / Sustainment,No,End date unknown,Needs Review,High,https://www.usaspending.gov/award/CONT_IDV_N0038323GT401_9700,2026-08-27 17:03 ET,Award date before 2023
CONT_IDV_N0010423DZN01_9700,N0010423DZN01,,Department of Defense,Department of the Navy,,Department of Defense,Department of the Navy,NORTHROP GRUMMAN SYSTEMS CORPORATION,REBFXSNFXAL4,,Northrop Grumman,WW98,IDIQ / IDV,,New IDIQ / Vehicle,2022-11-07,2022-11-07,,,2025-11-07,,0.0,Needs Review,332993,AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING,1356,"TORPEDOS AND COMPONENTS, EXPLOSIVE",,,UNITED STATES,UNITED STATES (LOCATION UNSPECIFIED),UNITED STATES (LOCATION UNSPECIFIED),Missiles / Weapons / Ordnance,High,keyword 'AMMUNITION' + PSC 1356 → Missiles / Weapons / Ordnance,No,End date unknown,Needs Review,High,https://www.usaspending.gov/award/CONT_IDV_N0010423DZN01_9700,2026-08-27 17:03 ET,Award date before 2023
CONT_IDV_FA852923D0001_9700,FA852923D0001,,Department of Defense,Defense Contract Management Agency,,Department of Defense,Department of the Air Force,NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,,Northrop Grumman,E-8C JOINT SURVEILLANCE TARGET ATTACK RADAR SYSTEM (JOINT STARS OR JSTARS) WEAPON SYSTEM FOLLOW-ON SUPPORT AND SUSTAINMENT,IDIQ / IDV,,New IDIQ / Vehicle,2022-10-26,2022-11-01,,,2025-10-31,,0.0,Needs Review,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,R425,SUPPORT- PROFESSIONAL: ENGINEERING/TECHNICAL,,,UNITED STATES,UNITED STATES (LOCATION UNSPECIFIED),UNITED STATES (LOCATION UNSPECIFIED),Aircraft Maintenance / Sustainment,Medium,keyword 'SUSTAINMENT'; PSC/NAICS suggested related work → Aircraft Maintenance / Sustainment,No,End date unknown,Needs Review,High,https://www.usaspending.gov/award/CONT_IDV_FA852923D0001_9700,2026-08-27 17:03 ET,Award date before 2023
CONT_IDV_N0010422GZJ01_9700,N0010422GZJ01,,Department of Defense,Department of the Navy,,Department of Defense,Department of the Navy,NORTHROP GRUMMAN SYSTEMS CORPORATION,PQGNEEY9W5M3,,Northrop Grumman,"REPAIRS AND SPARES LISTED IN SECTION J, ATTACHMENTS 1 & 2.",BPA / BOA,,New Award,2022-09-26,2022-09-26,,,2027-09-25,,0.0,Needs Review,334290,OTHER COMMUNICATIONS EQUIPMENT MANUFACTURING,5845,UNDERWATER SOUND EQUIPMENT,,,UNITED STATES,UNITED STATES (LOCATION UNSPECIFIED),UNITED STATES (LOCATION UNSPECIFIED),Aircraft Maintenance / Sustainment,Medium,keyword 'SPARES'; PSC/NAICS suggested related work → Aircraft Maintenance / Sustainment,No,End date unknown,Needs Review,High,https://www.usaspending.gov/award/CONT_IDV_N0010422GZJ01_9700,2026-08-27 17:03 ET,Award date before 2023
CONT_IDV_M6785422D2076_9700,M6785422D2076,,Department of Defense,Department of the Navy,,Department of Defense,Department of the Navy,NORTHROP GRUMMAN SYSTEMS CORPORATION,LEMLXG994AU3,,Northrop Grumman,SOFTWARE MAINTENANCE SUPPORT AND SOFTWARE TECHNICAL AND DEVELOPMENT SUPPORT,IDIQ / IDV,,New IDIQ / Vehicle,2022-09-13,2022-09-15,,,2027-09-14,,0.0,Needs Review,541511,CUSTOM COMPUTER PROGRAMMING SERVICES,DJ01,IT AND TELECOM - SECURITY AND COMPLIANCE SUPPORT SERVICES (LABOR),,,UNITED STATES,UNITED STATES (LOCATION UNSPECIFIED),UNITED STATES (LOCATION UNSPECIFIED),Aircraft Maintenance / Sustainment,Medium,keyword 'MAINTENANCE'; PSC/NAICS suggested related work → Aircraft Maintenance / Sustainment,No,End date unknown,Needs Review,High,https://www.usaspending.gov/award/CONT_IDV_M6785422D2076_9700,2026-08-27 17:03 ET,Award date before 2023
CONT_IDV_N0042122G0004_9700,N0042122G0004,,Department of Defense,Department of the Navy,,Department of Defense,Department of the Navy,NORTHROP GRUMMAN SYSTEMS CORPORATION,Z9TUHQN8QK35,,Northrop Grumman,AMHERST BOA,BPA / BOA,,New Award,2022-09-15,2022-09-08,,,2027-09-07,,0.0,Needs Review,334111,ELECTRONIC COMPUTER MANUFACTURING,6625,ELECTRICAL AND ELECTRONIC PROPERTIES MEASURING AND TESTING INSTRUMENTS,,,UNITED STATES,UNITED STATES (LOCATION UNSPECIFIED),UNITED STATES (LOCATION UNSPECIFIED),Testing / Quality / Inspection,High,keyword 'TESTING' + PSC 6625 → Testing / Quality / Inspection,No,End date unknown,Needs Review,High,https://www.usaspending.gov/award/CONT_IDV_N0042122G0004_9700,2026-08-27 17:03 ET,Award date before 2023
CONT_IDV_N0038322GS501_9700,N0038322GS501,,Department of Defense,Department of the Navy,,Department of Defense,Department of the Navy,NORTHROP GRUMMAN SYSTEMS CORPORATION,PK8PM2GNVMP8,,Northrop Grumman,E-2 BOA RENEWAL,BPA / BOA,,New Award,2022-08-10,2022-08-10,,,2027-05-21,,0.0,Needs Review,336413,OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,1680,MISCELLANEOUS AIRCRAFT ACCESSORIES AND COMPONENTS,,,UNITED STATES,UNITED STATES (LOCATION UNSPECIFIED),UNITED STATES (LOCATION UNSPECIFIED),Aircraft Maintenance / Sustainment,Medium,keyword 'AIRCRAFT PARTS'; PSC/NAICS suggested related work → Aircraft Maintenance / Sustainment,No,End date unknown,Needs Review,High,https://www.usaspending.gov/award/CONT_IDV_N0038322GS501_9700,2026-08-27 17:03 ET,Award date before 2023
