Candidate Recipient Name,Candidate UEI,Possible Parent Company,Parent Recipient Name,Award Count,Total Potential Value,Example Award Description,Fuzzy Match Score,Recommended Action
GENERAL DYNAMICS LAND SYSTEMS - CANADA CORPORATION,UKN6CJ49WB54,General Dynamics,,152,3214719.2199999997,"8510418657!CABLE ASSEMBLY,SPEC",100.0,Add to registry
GENERAL DYNAMICS DECISION SYSTEMS,VDWZJBMMFF33,General Dynamics,,105,667952969.6499999,SCLIN 0007AE:  SECTION GREAT LAKES,89.9,Add to registry
GENERAL DYNAMICS EUROPEAN LAND SYSTEMS-BRIDGE SYSTEMS GMBH,MLABDELSCKN3,General Dynamics,,53,34420255.07999999,"8510479177!SPACER,SLEEVE",93.5,Add to registry
"PRATT & WHITNEY MILITARY AFTERMARKET SERVICES, INC.",RBPHE19PDCD4,RTX / Raytheon,,31,50119560.06999999,"STATOR VANE ASSEMBLY, COMPR",100.0,Add to registry
"PRATT & WHITNEY MEASUREMENT SYSTEMS, INC.",S8XQQYDS9NV6,RTX / Raytheon,,29,2380532.4,"8511989851!TABLE,ELECTRICAL TE",100.0,Add to registry
"GENERAL DYNAMICS OTS (WILKES BARRE), LLC",V1TVADBWD4E9,General Dynamics,,8,17387905.43,SCAAP ARTILLERY CRITICAL SPARE PARTS,86.5,Needs manual review
PRATT & WHITNEY CANADA CORP,ZFF3JU7JDYM2,RTX / Raytheon,,7,682119.79,ENGINEERING SERVICES AND TECHNICAL FOR ENGINE TESTING,100.0,Add to registry
"LOCKHEED MARTIN SIPPICAN, INC.",YS2TNLEU8EK3,Lockheed Martin,,6,0.0,BOA,100.0,Add to registry
"WOOD GROUP PRATT & WHITNEY INDUSTRIAL TURBINE SERVICES, LLC",MUD1UJNM3267,RTX / Raytheon,,6,2843515.31,"DO 70Z08525FDS021B00 IS FOR THE OIR (OPEN, INSPECT, AND REPORT) FOR GAS GENERATOR FT4A12.",100.0,Add to registry
"NORTHROP GRUMMAN SHIP SYSTEMS,",F19YS5JXPYH8,Northrop Grumman,,5,9083566.0,ESTABLISHED NOT TO EXCEED FUNDING.,90.6,Add to registry
"BOEING SIKORSKY AIRCRAFT SUPPORT, LLC",H91LD1GY6JN5,Lockheed Martin,,5,487538888.72999996,TRAVEL,87.2,Needs manual review
RAYTHEON SYSTEMS LIMITED,EMR9D7KJZV23,RTX / Raytheon,,3,12373409.0,GAS-1/ADAP,84.2,Needs manual review
LOCKHEED MARTIN AERONAUTICAL SYSTEMS SUPPORT COMPANY,VXHLJL9WVYE7,Lockheed Martin,,2,4456182333.76,,100.0,Add to registry
"PRATT & WHITNEY AUTOMATION, INC.",SM5DRL3HXJT1,RTX / Raytheon,,2,49834.0,3 DAY TROUBLESHOOTING AND TRAVEL COSTS,100.0,Add to registry
NORTHROP GRUMMAN FIELD SUPPORT SERVICES INC,HJ9HR2NUK6E3,Northrop Grumman,,1,38120588.36,,86.5,Needs manual review
NORTHROP GRUMMAN ITALIA S.P.A,L5VJJNAPBL44,Northrop Grumman,,1,0.0,IGF::OT::IGF BASIC IDIQ,86.5,Needs manual review
"NORTHROP GRUMMAN PRB SYSTEMS, INC.",FKN1KKNDS4J5,Northrop Grumman,,1,0.0,,93.3,Add to registry
"LOCKHEED MARTIN AEROPARTS, INC.",MAXNUBXJDDW6,Lockheed Martin,,1,0.0,BOA,100.0,Add to registry
"LOCKHEED MARTIN LOGISTIC SERVICES, INC.",XPNHKJDDSGJ5,Lockheed Martin,,1,0.0,LABOR - APN,100.0,Add to registry
"LOCKHEED MARTIN PROCERUS TECHNOLOGIES, L.C.",LHKDVHKNCES3,Lockheed Martin,,1,0.0,PROCUREMENT AND PRODUCTION,100.0,Add to registry
LOCKHEED MARTIN ACULIGHT CORPORATION,WYAVK6MSRJ15,Lockheed Martin,,1,0.0,IGF::OT::IGF; SBIR PH 3,100.0,Add to registry
LOCKHEED MARTIN INTERNATIONAL,RAEQGQ1BKP15,Lockheed Martin,,1,0.0,,100.0,Add to registry
LOCKHEED MISSILES & SPACE COMP,YVH9AL7JT6Y3,Lockheed Martin,,1,9458382765.59,200510!000044!5700!FA8810!SMC/ISK                         !F0470195C0017  !A!N! !N!             !P00309!20050324!20100630!196596688!196596688!834951691!N!LOCKHE,80.0,Needs manual review
LOCKHEED MARTIN SPACE OPERATIONS COMPANY,U3AXDD6KSNB1,Lockheed Martin,,1,446069423.54,MISSION SUPPORT OPERATIONS (MOSC),100.0,Add to registry
RAYTHEON KOREAN SUPPORT COMPANY,LY1XGRNRXNZ5,RTX / Raytheon,,1,0.0,SEED HPRDS FY09 SPEND PLAN LINE 18,100.0,Add to registry
RAYTHEON TI SYSTEMS INC,JPJCZUSL7KQ1,RTX / Raytheon,,1,0.0,REQUIREMENT IS NEEDED TO REPLACE JSOW AGM-154 SECURITY CLASSIFICATION GUIDE AND DOD CONTRACT SECURITY CLASSIFICATION GUIDE FOR THE BASIC CONTRACT.,88.9,Add to registry
GENERAL DYNAMICS GOVERNMENT SYSTEMS CORPORATION,Y7NLAMEGHYZ1,General Dynamics,,1,0.0,IT SERVICES GWAC,100.0,Add to registry
"GENERAL DYNAMICS GLOBAL IMAGING TECHNOLOGIES, INC.",FNYEV2VKF751,General Dynamics,,1,91000.0,"8506060412!SYNCHRO,RECEIVER-TR",86.5,Needs manual review
BOEING US TRAINING AND FLIGHT SERVICES L.L.C.,DLEKTJFY1UX7,Boeing,,1,0.0,REQUEST FOR MULTIPLE YEAR CONTRACT (BASE PLUS 4 OPTIONS) FOR BOEING B787 LEVEL 1 AIRCRAFT SYSTEMS TRAINING (FAA21850010),63.2,Needs manual review
THE BOEING COMPANY (0674),N7N4W13PCRU5,Boeing,,1,0.0,NAVAL AVIATION,100.0,Add to registry
